"Source Name"	"Sample Name"	"Factor Value[Block]"	"Term Source REF"	"Term Accession Number"	"Raw Data File"	"Protocol REF"	"Derived Data File"	"Trait Definition File"
"source1"	"sample1"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source1"	"sample2"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source1"	"sample3"	"3"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source1"	"sample4"	"4"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source1"	"sample5"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source2"	"sample6"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source2"	"sample7"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source2"	"sample10"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source3"	"sample11"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source3"	"sample12"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source3"	"sample13"	"3"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source3"	"sample14"	"4"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source3"	"sample15"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source4"	"sample16"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source4"	"sample17"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source4"	"sample18"	"3"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source4"	"sample19"	"4"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source4"	"sample20"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source5"	"sample21"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source5"	"sample22"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source5"	"sample23"	"3"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source5"	"sample24"	"4"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source5"	"sample25"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source6"	"sample26"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source6"	"sample27"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source6"	"sample28"	"3"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source6"	"sample29"	"4"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source6"	"sample30"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source7"	"sample31"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source7"	"sample32"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source7"	"sample33"	"3"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source7"	"sample34"	"4"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source7"	"sample35"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source8"	"sample36"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source8"	"sample37"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source8"	"sample38"	"3"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source8"	"sample39"	"4"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source8"	"sample40"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source9"	"sample41"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source9"	"sample42"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source9"	"sample43"	"3"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source9"	"sample44"	"4"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source9"	"sample45"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source10"	"sample46"	"1"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source10"	"sample47"	"2"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source10"	"sample48"	"3"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source10"	"sample49"	"4"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
"source10"	"sample50"	"5"	""	""	""	"data transformation"	"a_study1_processed_data.xlsx"	"a_study1_tdf.xlsx"
