Sample Name	Trait Value[len]	Trait Value[Colour]	Term Source REF	Term Accession Number	Trait Value[Stem diameter]
sample1	0.7221	green	PATO	320	1.08
sample2	0.4288	yellow	PATO	324	1.15
sample3	0.5585	green	PATO	320	1.46
sample4	0.1394	yellow	PATO	324	1.23
sample5	0.5313	yellow	PATO	324	1.23
sample6	0.8398	green	PATO	320	1.31
sample7	0.8084	green	PATO	320	1.62
sample10	0.1138	green	PATO	320	1.46
sample11	0.9038	green	PATO	320	1.00
sample12	0.1341	yellow	PATO	324	1.00
sample13	0.2490	yellow	PATO	324	1.69
sample14	0.0910	green	PATO	320	1.92
sample15	0.4247	green	PATO	320	1.38
sample16	1.9308	yellow	PATO	324	1.69
sample17	1.1836	yellow	PATO	324	1.00
sample18	1.6157	green	PATO	320	1.31
sample19	1.3986	green	PATO	320	1.62
sample20	1.7506	yellow	PATO	324	1.46
sample21	0.8363	yellow	PATO	324	1.85
sample22	0.7670	yellow	PATO	324	1.00
sample23	0.2674	green	PATO	320	1.38
sample24	0.3717	green	PATO	320	1.31
sample25	0.9469	yellow	PATO	324	1.69
sample26	0.4396	green	PATO	320	1.15
sample27	1.4546	green	PATO	320	1.46
sample28	1.8874	yellow	PATO	324	1.38
sample29	1.2617	yellow	PATO	324	1.31
sample30	1.6363	green	PATO	320	1.62
sample31	0.8264	green	PATO	320	1.69
sample32	0.9446	yellow	PATO	324	1.38
sample33	0.3708	yellow	PATO	324	1.62
sample34	0.3085	green	PATO	320	1.46
sample35	0.3123	green	PATO	320	1.08
sample36	1.8408	green	PATO	320	1.15
sample37	0.5323	green	PATO	320	1.08
sample38	0.1667	green	PATO	320	1.38
sample39	0.9585	green	PATO	320	1.23
sample40	1.2222	yellow	PATO	324	1.23
sample41	0.6951	green	PATO	320	1.38
sample42	0.8438	green	PATO	320	1.85
sample43	0.1567	yellow	PATO	324	1.46
sample44	0.1376	yellow	PATO	324	1.69
sample45	0.2198	yellow	PATO	324	1.77
sample46	1.0635	yellow	PATO	324	1.00
sample47	0.7565	yellow	PATO	324	1.38
sample48	0.1964	yellow	PATO	324	1.92
sample49	1.7860	yellow	PATO	324	1.46
sample50	0.8699	yellow	PATO	324	1.69
